roi_set	roi	variant	response	status	model	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_se	condition_p	interaction_beta	interaction_se	interaction_p	converged	loglik	q_bh_within_family
meta_spatial	meta_R_PPC_SPL	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.08146173799307257	0.19367274538367277	0.6740359513317085	0.5934382192453643	0.1728724527094424	0.000597361383249919	-0.06919119284287975	0.18353306826755522	0.7061767385211137	True		0.7846002522144883
meta_spatial	meta_L_RSC_PCC	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.07985528265403916	0.19256561101151756	0.6783679054867418	0.5823884077866527	0.17451297257609522	0.0008462054395798245	-0.0015712226272466725	0.21938238607216262	0.994285577886315	True		0.7846002522144883
meta_spatial	meta_R_PPA_PHG	max_run_to_retrieval	memory	ok	gee_binomial	884	26	-0.06836360699328534	0.18131422644486883	0.7061402269930395	0.5897664191169184	0.17423180067922783	0.0007119049852976982	0.008064409421893286	0.17638627256468917	0.9635332915555257	True		0.7846002522144883
meta_spatial	meta_R_precuneus	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.07213338714939967	0.19297622776952206	0.70855746398766	0.5862084706489975	0.17135754178445392	0.0006239893670132677	0.046641820147845486	0.1657669494266288	0.778426747744332	True		0.7872860710973999
meta_spatial	meta_L_PPA_PHG	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.02273769035742887	0.03217393537093335	0.47974577706700494	-0.07472132037308686	0.03193982476881685	0.01931264634885675	-0.016310534381746844	0.033609145905693874	0.6274632205134097	True	inf	0.7995762951116748
meta_spatial	meta_R_PPA_PHG	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.02009900933073167	0.02792533974909611	0.47168453528022247	-0.07248645665888406	0.03145662101499209	0.021204088420783567	-0.028138304726705785	0.029414973826655005	0.33877020566867366	True	inf	0.8008786772613565
meta_spatial	meta_R_RSC_PCC	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.020192480194443488	0.030659685159770553	0.5101524209617562	-0.0722964466865425	0.03143219883027728	0.021443913755171483	-0.005926825184815682	0.032022336569018046	0.8531630764036655	True	inf	0.8008786772613565
meta_spatial	meta_L_hippocampus	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.013032032426463475	0.0327170457366472	0.6903902925115233	-0.06784396193722886	0.03210108858593946	0.0345624933151936	0.008809668325733693	0.03432093039279602	0.7974219450133299	True	-28.441061643426792	0.8008786772613565
meta_spatial	meta_L_PPA_PHG	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.01145293561844925	0.032980514690527186	0.728393217717376	-0.07215420409333081	0.03167074672307251	0.022711075065169777	-0.00621468004376168	0.034212587638086316	0.8558582445500853	True	inf	0.8008786772613565
meta_spatial	meta_R_PPC_SPL	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.009240119304234674	0.028148094151497115	0.742709017383528	-0.07075466596053376	0.031429640165293336	0.024372349158848925	0.010025345672148264	0.02976442052568093	0.7362502258324912	True	inf	0.8008786772613565
meta_spatial	meta_R_hippocampus	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.008586571221455203	0.034045311691810264	0.8008786772613564	-0.06843544143394167	0.032090391141762806	0.03295890094663148	-0.005606126330256366	0.0352959677453788	0.8738012993969012	True	-27.598472004726318	0.8008786772613565
meta_metaphor	meta_L_pMTG_pSTS	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.003950600090964689	0.028173482033674473	0.8884829610134558	-0.07090618307642498	0.031428243683019455	0.02406253134819104	0.008734141070516883	0.029374558292817394	0.7662092874921068	True	inf	0.8884829610134558
meta_metaphor	meta_R_pMTG_pSTS	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.015865023327724184	0.03113678116774561	0.610383043745943	-0.06899566584142199	0.03140873603889401	0.0280416618405823	-0.0298895394330172	0.03246592076368159	0.3572365750926412	True	inf	0.8983764194226852
meta_metaphor	meta_R_AG	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.01269264439969873	0.03519478051170385	0.7183686095803368	-0.07001134656233457	0.03202052006665334	0.028782515292221082	0.004980082592025915	0.03666830050021444	0.8919680207771878	True	-27.04076442279711	0.8983764194226852
